 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Fev/2020
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";132
"110002 ARIQUEMES";527
"110003 CABIXI";26
"110004 CACOAL";884
"110005 CEREJEIRAS";98
"110006 COLORADO DO OESTE";60
"110008 COSTA MARQUES";26
"110009 ESPIGAO D'OESTE";154
"110010 GUAJARA-MIRIM";221
"110011 JARU";275
"110012 JI-PARANA";513
"110013 MACHADINHO D'OESTE";184
"110014 NOVA BRASILANDIA D'OESTE";84
"110015 OURO PRETO DO OESTE";177
"110018 PIMENTA BUENO";317
"110020 PORTO VELHO";3504
"110025 PRESIDENTE MEDICI";50
"110026 RIO CRESPO";10
"110028 ROLIM DE MOURA";385
"110029 SANTA LUZIA D'OESTE";45
"110030 VILHENA";900
"110032 SAO MIGUEL DO GUAPORE";129
"110033 NOVA MAMORE";53
"110034 ALVORADA D'OESTE";47
"110037 ALTO ALEGRE DOS PARECIS";36
"110040 ALTO PARAISO";37
"110045 BURITIS";63
"110050 NOVO HORIZONTE DO OESTE";46
"110060 CACAULANDIA";1
"110070 CAMPO NOVO DE RONDONIA";20
"110094 CUJUBIM";26
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";6
"110130 MIRANTE DA SERRA";34
"110140 MONTE NEGRO";27
"110143 NOVA UNIAO";5
"110145 PARECIS";24
"110146 PIMENTEIRAS DO OESTE";5
"110149 SAO FRANCISCO DO GUAPORE";76
"110150 SERINGUEIRAS";42
"110155 TEIXEIROPOLIS";4
"110160 THEOBROMA";16
"110170 URUPA";18
"110180 VALE DO PARAISO";12
"120001 ACRELANDIA";17
"120005 ASSIS BRASIL";74
"120010 BRASILEIA";188
"120020 CRUZEIRO DO SUL";771
"120030 FEIJO";15
"120033 MANCIO LIMA";1
"120034 MANOEL URBANO";32
"120038 PLACIDO DE CASTRO";44
"120040 RIO BRANCO";2545
"120042 RODRIGUES ALVES";21
"120050 SENA MADUREIRA";185
"120060 TARAUACA";123
"120070 XAPURI";73
"130002 ALVARAES";45
"130006 AMATURA";7
"130010 ANORI";51
"130014 APUI";69
"130020 ATALAIA DO NORTE";30
"130030 AUTAZES";79
"130040 BARCELOS";73
"130050 BARREIRINHA";61
"130060 BENJAMIN CONSTANT";197
"130063 BERURI";32
"130068 BOA VISTA DO RAMOS";69
"130070 BOCA DO ACRE";174
"130080 BORBA";202
"130083 CAAPIRANGA";54
"130090 CANUTAMA";44
"130100 CARAUARI";112
"130110 CAREIRO";83
"130120 COARI";320
"130130 CODAJAS";69
"130140 EIRUNEPE";149
"130160 FONTE BOA";110
"130165 GUAJARA";42
"130170 HUMAITA";182
"130185 IRANDUBA";55
"130190 ITACOATIARA";342
"130200 ITAPIRANGA";29
"130210 JAPURA";30
"130240 LABREA";83
"130250 MANACAPURU";504
"130255 MANAQUIRI";38
"130260 MANAUS";9899
"130270 MANICORE";140
"130290 MAUES";204
"130300 NHAMUNDA";30
"130310 NOVA OLINDA DO NORTE";73
"130320 NOVO AIRAO";31
"130340 PARINTINS";598
"130350 PAUINI";53
"130353 PRESIDENTE FIGUEIREDO";67
"130356 RIO PRETO DA EVA";26
"130360 SANTA ISABEL DO RIO NEGRO";97
"130370 SANTO ANTONIO DO ICA";109
"130380 SAO GABRIEL DA CACHOEIRA";68
"130390 SAO PAULO DE OLIVENCA";118
"130406 TABATINGA";92
"130420 TEFE";359
"130423 TONANTINS";61
"130426 UARINI";75
"130430 URUCARA";44
"140005 ALTO ALEGRE";18
"140010 BOA VISTA";3133
"140020 CARACARAI";17
"140023 CAROEBE";32
"140030 MUCAJAI";18
"140040 NORMANDIA";25
"140045 PACARAIMA";26
"140047 RORAINOPOLIS";482
"140050 SAO JOAO DA BALIZA";15
"140060 SAO LUIZ";9
"150010 ABAETETUBA";649
"150013 ABEL FIGUEIREDO";13
"150020 ACARA";103
"150030 AFUA";65
"150034 AGUA AZUL DO NORTE";85
"150040 ALENQUER";371
"150050 ALMEIRIM";152
"150060 ALTAMIRA";842
"150070 ANAJAS";101
"150080 ANANINDEUA";3110
"150085 ANAPU";247
"150090 AUGUSTO CORREA";396
"150095 AURORA DO PARA";113
"150120 BAIAO";129
"150125 BANNACH";8
"150130 BARCARENA";628
"150140 BELEM";9304
"150145 BELTERRA";31
"150157 BOM JESUS DO TOCANTINS";78
"150170 BRAGANCA";950
"150172 BRASIL NOVO";213
"150175 BREJO GRANDE DO ARAGUAIA";61
"150178 BREU BRANCO";68
"150180 BREVES";814
"150190 BUJARU";162
"150200 CACHOEIRA DO ARARI";75
"150210 CAMETA";734
"150215 CANAA DOS CARAJAS";144
"150220 CAPANEMA";482
