 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Nov/2023
"Município";"AIH_aprovadas"
"150520 OEIRAS DO PARA";106
"150530 ORIXIMINA";363
"150540 OUREM";67
"150543 OURILANDIA DO NORTE";164
"150548 PACAJA";189
"150549 PALESTINA DO PARA";15
"150550 PARAGOMINAS";524
"150553 PARAUAPEBAS";522
"150555 PAU D'ARCO";48
"150563 PICARRA";61
"150565 PLACAS";116
"150570 PONTA DE PEDRAS";94
"150580 PORTEL";222
"150590 PORTO DE MOZ";158
"150600 PRAINHA";92
"150613 REDENCAO";825
"150616 RIO MARIA";112
"150618 RONDON DO PARA";145
"150619 RUROPOLIS";125
"150620 SALINOPOLIS";233
"150630 SALVATERRA";69
"150640 SANTA CRUZ DO ARARI";44
"150650 SANTA IZABEL DO PARA";83
"150658 SANTA MARIA DAS BARREIRAS";76
"150660 SANTA MARIA DO PARA";78
"150670 SANTANA DO ARAGUAIA";362
"150680 SANTAREM";1585
"150700 SANTO ANTONIO DO TAUA";475
"150715 SAO DOMINGOS DO ARAGUAIA";41
"150720 SAO DOMINGOS DO CAPIM";74
"150730 SAO FELIX DO XINGU";248
"150745 SAO GERALDO DO ARAGUAIA";119
"150747 SAO JOAO DE PIRABAS";70
"150750 SAO JOAO DO ARAGUAIA";23
"150760 SAO MIGUEL DO GUAMA";178
"150770 SAO SEBASTIAO DA BOA VISTA";122
"150775 SAPUCAIA";27
"150780 SENADOR JOSE PORFIRIO";72
"150790 SOURE";100
"150795 TAILANDIA";344
"150797 TERRA SANTA";101
"150800 TOME-ACU";183
"150803 TRACUATEUA";101
"150805 TRAIRAO";126
"150808 TUCUMA";473
"150810 TUCURUI";687
"150812 ULIANOPOLIS";277
"150815 URUARA";301
"150820 VIGIA";135
"150830 VISEU";187
"150835 VITORIA DO XINGU";128
"150840 XINGUARA";299
"160005 SERRA DO NAVIO";2
"160010 AMAPA";10
"160015 PEDRA BRANCA DO AMAPARI";15
"160020 CALCOENE";20
"160023 FERREIRA GOMES";6
"160027 LARANJAL DO JARI";410
"160030 MACAPA";2447
"160040 MAZAGAO";12
"160050 OIAPOQUE";130
"160060 SANTANA";389
"160070 TARTARUGALZINHO";7
"170070 ALVORADA";46
"170100 ANANAS";10
"170190 ARAGUACEMA";89
"170200 ARAGUACU";31
"170210 ARAGUAINA";1536
"170220 ARAGUATINS";65
"170230 ARAPOEMA";117
"170255 AUGUSTINOPOLIS";231
"170370 BREJINHO DE NAZARE";5
"170550 COLINAS DO TOCANTINS";154
"170700 DIANOPOLIS";171
"170820 FORMOSO DO ARAGUAIA";26
"170900 GOIATINS";15
"170930 GUARAI";258
"170950 GURUPI";838
"171190 LAGOA DA CONFUSAO";10
"171320 MIRACEMA DO TOCANTINS";355
"171420 NATIVIDADE";2
"171575 PALMEIROPOLIS";7
"171610 PARAISO DO TOCANTINS";439
"171620 PARANA";21
"171650 PEDRO AFONSO";13
"171660 PEIXE";23
"171700 PINDORAMA DO TOCANTINS";30
"171750 PIUM";35
"171790 PONTE ALTA DO TOCANTINS";4
"171820 PORTO NACIONAL";550
"172065 SILVANOPOLIS";2
"172080 SITIO NOVO DO TOCANTINS";36
"172090 TAGUATINGA";76
"172100 PALMAS";1906
"172120 TOCANTINOPOLIS";108
"172210 XAMBIOA";56
"210005 ACAILANDIA";681
"210020 ALCANTARA";10
"210030 ALDEIAS ALTAS";48
"210043 ALTO ALEGRE DO MARANHAO";300
"210047 ALTO ALEGRE DO PINDARE";218
"210050 ALTO PARNAIBA";19
"210060 AMARANTE DO MARANHAO";228
"210070 ANAJATUBA";44
"210080 ANAPURUS";39
"210083 APICUM-ACU";100
"210087 ARAGUANA";67
"210090 ARAIOSES";5
"210100 ARARI";56
"210110 AXIXA";12
"210120 BACABAL";893
"210125 BACABEIRA";28
"210130 BACURI";105
"210140 BALSAS";614
"210150 BARAO DE GRAJAU";35
"210160 BARRA DO CORDA";41
"210170 BARREIRINHAS";529
"210177 BELA VISTA DO MARANHAO";71
"210190 BEQUIMAO";49
"210193 BERNARDO DO MEARIM";33
"210200 BOM JARDIM";195
"210203 BOM JESUS DAS SELVAS";97
"210210 BREJO";72
"210220 BURITI";179
"210230 BURITI BRAVO";70
"210232 BURITICUPU";357
"210240 CAJAPIO";28
"210250 CAJARI";15
"210260 CANDIDO MENDES";59
"210270 CANTANHEDE";90
"210280 CAROLINA";172
"210290 CARUTAPERA";204
"210300 CAXIAS";1276
"210320 CHAPADINHA";479
"210325 CIDELANDIA";80
"210330 CODO";325
"210340 COELHO NETO";184
"210350 COLINAS";682
"210355 CONCEICAO DO LAGO-ACU";73
"210360 COROATA";433
"210370 CURURUPU";430
"210390 DUQUE BACELAR";86
"210400 ESPERANTINOPOLIS";110
"210405 ESTREITO";167
"210407 FEIRA NOVA DO MARANHAO";56
"210408 FERNANDO FALCAO";22
"210409 FORMOSA DA SERRA NEGRA";59
