 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor serviços hospitalares por Município e Ano processamento
Período:Mai/2022
"Município";"2022";"Total"
"110001 ALTA FLORESTA D'OESTE";36774,70;36774,70
"110002 ARIQUEMES";379535,78;379535,78
"110003 CABIXI";3828,24;3828,24
"110004 CACOAL";480098,79;480098,79
"110005 CEREJEIRAS";28742,32;28742,32
"110006 COLORADO DO OESTE";21061,18;21061,18
"110008 COSTA MARQUES";6805,29;6805,29
"110009 ESPIGAO D'OESTE";50801,02;50801,02
"110010 GUAJARA-MIRIM";114199,75;114199,75
"110011 JARU";172753,64;172753,64
"110012 JI-PARANA";556331,22;556331,22
"110013 MACHADINHO D'OESTE";53327,20;53327,20
"110014 NOVA BRASILANDIA D'OESTE";34384,24;34384,24
"110015 OURO PRETO DO OESTE";111565,19;111565,19
"110018 PIMENTA BUENO";102448,55;102448,55
"110020 PORTO VELHO";5308500,50;5308500,50
"110025 PRESIDENTE MEDICI";22177,28;22177,28
"110028 ROLIM DE MOURA";98371,01;98371,01
"110029 SANTA LUZIA D'OESTE";13611,35;13611,35
"110030 VILHENA";388719,67;388719,67
"110032 SAO MIGUEL DO GUAPORE";55279,14;55279,14
"110033 NOVA MAMORE";30380,26;30380,26
"110034 ALVORADA D'OESTE";29072,78;29072,78
"110037 ALTO ALEGRE DOS PARECIS";21819,59;21819,59
"110040 ALTO PARAISO";10114,40;10114,40
"110045 BURITIS";51608,00;51608,00
"110050 NOVO HORIZONTE DO OESTE";13391,85;13391,85
"110060 CACAULANDIA";1668,22;1668,22
"110070 CAMPO NOVO DE RONDONIA";2744,41;2744,41
"110080 CANDEIAS DO JAMARI";504,07;504,07
"110094 CUJUBIM";16050,56;16050,56
"110110 ITAPUA DO OESTE";1378,50;1378,50
"110120 MINISTRO ANDREAZZA";3132,14;3132,14
"110130 MIRANTE DA SERRA";11533,17;11533,17
"110140 MONTE NEGRO";7616,77;7616,77
"110143 NOVA UNIAO";6567,69;6567,69
"110145 PARECIS";4048,13;4048,13
"110149 SAO FRANCISCO DO GUAPORE";45240,67;45240,67
"110150 SERINGUEIRAS";27345,30;27345,30
"110155 TEIXEIROPOLIS";459,47;459,47
"110160 THEOBROMA";3033,25;3033,25
"110170 URUPA";15927,95;15927,95
"110175 VALE DO ANARI";3689,02;3689,02
"110180 VALE DO PARAISO";8686,68;8686,68
"120001 ACRELANDIA";8121,00;8121,00
"120005 ASSIS BRASIL";17727,37;17727,37
"120010 BRASILEIA";137051,27;137051,27
"120020 CRUZEIRO DO SUL";321783,59;321783,59
"120030 FEIJO";43066,25;43066,25
"120033 MANCIO LIMA";14556,97;14556,97
"120034 MANOEL URBANO";19743,42;19743,42
"120035 MARECHAL THAUMATURGO";304,31;304,31
"120038 PLACIDO DE CASTRO";9594,98;9594,98
"120039 PORTO WALTER";7438,99;7438,99
"120040 RIO BRANCO";2702154,35;2702154,35
"120042 RODRIGUES ALVES";5773,16;5773,16
"120045 SENADOR GUIOMARD";12569,99;12569,99
"120050 SENA MADUREIRA";51146,54;51146,54
"120060 TARAUACA";76249,14;76249,14
"120070 XAPURI";24632,13;24632,13
"130006 AMATURA";23169,86;23169,86
"130008 ANAMA";20398,65;20398,65
"130010 ANORI";17059,32;17059,32
"130014 APUI";31976,76;31976,76
"130020 ATALAIA DO NORTE";12732,69;12732,69
"130030 AUTAZES";30144,29;30144,29
"130040 BARCELOS";28311,00;28311,00
"130050 BARREIRINHA";24808,90;24808,90
"130060 BENJAMIN CONSTANT";20222,26;20222,26
"130063 BERURI";15173,40;15173,40
"130068 BOA VISTA DO RAMOS";26460,13;26460,13
"130070 BOCA DO ACRE";53421,98;53421,98
"130080 BORBA";65777,59;65777,59
"130083 CAAPIRANGA";20207,63;20207,63
"130090 CANUTAMA";10681,41;10681,41
"130100 CARAUARI";64936,70;64936,70
"130110 CAREIRO";41201,76;41201,76
"130115 CAREIRO DA VARZEA";585,41;585,41
"130120 COARI";146718,26;146718,26
"130130 CODAJAS";32352,29;32352,29
"130140 EIRUNEPE";31603,85;31603,85
"130150 ENVIRA";8305,57;8305,57
"130160 FONTE BOA";40359,28;40359,28
"130165 GUAJARA";14013,79;14013,79
"130170 HUMAITA";83537,70;83537,70
"130180 IPIXUNA";48976,31;48976,31
"130185 IRANDUBA";23495,71;23495,71
"130190 ITACOATIARA";141803,20;141803,20
"130195 ITAMARATI";3090,15;3090,15
"130200 ITAPIRANGA";10853,52;10853,52
"130210 JAPURA";6016,54;6016,54
"130230 JUTAI";33749,94;33749,94
"130240 LABREA";67786,58;67786,58
"130250 MANACAPURU";201872,47;201872,47
"130255 MANAQUIRI";17832,12;17832,12
"130260 MANAUS";13984364,47;13984364,47
"130270 MANICORE";41318,76;41318,76
"130290 MAUES";96041,09;96041,09
"130300 NHAMUNDA";12944,43;12944,43
"130310 NOVA OLINDA DO NORTE";42074,21;42074,21
"130320 NOVO AIRAO";31751,17;31751,17
"130330 NOVO ARIPUANA";35051,45;35051,45
"130340 PARINTINS";171882,58;171882,58
"130350 PAUINI";38472,48;38472,48
"130353 PRESIDENTE FIGUEIREDO";34669,21;34669,21
"130356 RIO PRETO DA EVA";6746,39;6746,39
"130360 SANTA ISABEL DO RIO NEGRO";22419,97;22419,97
"130370 SANTO ANTONIO DO ICA";32961,81;32961,81
"130380 SAO GABRIEL DA CACHOEIRA";53803,17;53803,17
"130390 SAO PAULO DE OLIVENCA";89670,37;89670,37
"130395 SAO SEBASTIAO DO UATUMA";18825,01;18825,01
"130400 SILVES";14809,85;14809,85
"130406 TABATINGA";60125,46;60125,46
"130410 TAPAUA";21337,90;21337,90
"130420 TEFE";130408,22;130408,22
"130423 TONANTINS";33661,17;33661,17
"130430 URUCARA";8654,09;8654,09
"130440 URUCURITUBA";1145,44;1145,44
"140005 ALTO ALEGRE";4035,87;4035,87
"140010 BOA VISTA";2991188,60;2991188,60
"140015 BONFIM";818,80;818,80
"140020 CARACARAI";5485,69;5485,69
"140023 CAROEBE";2065,16;2065,16
"140040 NORMANDIA";2965,42;2965,42
"140045 PACARAIMA";20575,39;20575,39
"140047 RORAINOPOLIS";80192,88;80192,88
"140050 SAO JOAO DA BALIZA";4345,81;4345,81
"140060 SAO LUIZ";2276,63;2276,63
"150010 ABAETETUBA";327066,73;327066,73
"150013 ABEL FIGUEIREDO";10957,42;10957,42
"150020 ACARA";35969,55;35969,55
"150030 AFUA";30239,06;30239,06
"150034 AGUA AZUL DO NORTE";25929,41;25929,41
"150040 ALENQUER";99525,69;99525,69
"150050 ALMEIRIM";36922,27;36922,27
"150060 ALTAMIRA";878926,92;878926,92
"150070 ANAJAS";36406,43;36406,43
"150080 ANANINDEUA";2102164,82;2102164,82
"150085 ANAPU";124969,37;124969,37
"150090 AUGUSTO CORREA";128892,45;128892,45
"150095 AURORA DO PARA";36597,98;36597,98
"150110 BAGRE";4310,68;4310,68
"150120 BAIAO";71763,48;71763,48
"150125 BANNACH";3329,45;3329,45
"150130 BARCARENA";408740,51;408740,51
"150140 BELEM";17833923,12;17833923,12
"150145 BELTERRA";11249,92;11249,92
"150157 BOM JESUS DO TOCANTINS";22350,92;22350,92
"150170 BRAGANCA";1125126,27;1125126,27
"150172 BRASIL NOVO";103526,09;103526,09
"150175 BREJO GRANDE DO ARAGUAIA";20020,03;20020,03
"150178 BREU BRANCO";31714,55;31714,55
"150180 BREVES";486050,93;486050,93
"150200 CACHOEIRA DO ARARI";23322,58;23322,58
"150210 CAMETA";207116,61;207116,61
"150215 CANAA DOS CARAJAS";98223,32;98223,32
"150220 CAPANEMA";559876,61;559876,61
"150230 CAPITAO POCO";92850,78;92850,78
"150240 CASTANHAL";1508708,83;1508708,83
"150270 CONCEICAO DO ARAGUAIA";183347,86;183347,86
"150275 CONCORDIA DO PARA";16092,93;16092,93
"150276 CUMARU DO NORTE";15098,49;15098,49
"150277 CURIONOPOLIS";35066,10;35066,10
"150280 CURRALINHO";44927,89;44927,89
"150290 CURUCA";75496,79;75496,79
"150293 DOM ELISEU";73547,32;73547,32
"150295 ELDORADO DOS CARAJAS";49460,03;49460,03
"150300 FARO";5756,60;5756,60
"150304 FLORESTA DO ARAGUAIA";39036,56;39036,56
"150307 GARRAFAO DO NORTE";26814,53;26814,53
"150309 GOIANESIA DO PARA";45991,77;45991,77
"150310 GURUPA";48252,78;48252,78
"150320 IGARAPE-ACU";34254,57;34254,57
"150330 IGARAPE-MIRI";193307,30;193307,30
"150345 IPIXUNA DO PARA";156682,85;156682,85
"150350 IRITUIA";29197,95;29197,95
"150360 ITAITUBA";315693,06;315693,06
"150370 ITUPIRANGA";40791,81;40791,81
"150375 JACAREACANGA";30896,22;30896,22
"150380 JACUNDA";74880,64;74880,64
"150390 JURUTI";61485,37;61485,37
"150400 LIMOEIRO DO AJURU";39674,46;39674,46
"150405 MAE DO RIO";58191,13;58191,13
"150420 MARABA";903364,13;903364,13
"150430 MARACANA";10201,74;10201,74
"150440 MARAPANIM";12663,49;12663,49
"150442 MARITUBA";431592,26;431592,26
"150445 MEDICILANDIA";44767,52;44767,52
"150450 MELGACO";23196,63;23196,63
"150460 MOCAJUBA";51102,57;51102,57
"150470 MOJU";44823,91;44823,91
"150480 MONTE ALEGRE";49541,42;49541,42
"150490 MUANA";49215,71;49215,71
"150495 NOVA ESPERANCA DO PIRIA";22791,59;22791,59
"150497 NOVA IPIXUNA";7756,58;7756,58
"150503 NOVO PROGRESSO";39821,00;39821,00
"150506 NOVO REPARTIMENTO";50806,04;50806,04
"150510 OBIDOS";58068,32;58068,32
"150520 OEIRAS DO PARA";51274,89;51274,89
"150530 ORIXIMINA";146155,85;146155,85
"150540 OUREM";31373,36;31373,36
"150543 OURILANDIA DO NORTE";118801,51;118801,51
"150548 PACAJA";72300,37;72300,37
"150549 PALESTINA DO PARA";20117,71;20117,71
"150550 PARAGOMINAS";124076,49;124076,49
"150553 PARAUAPEBAS";494024,41;494024,41
"150555 PAU D'ARCO";18940,64;18940,64
"150563 PICARRA";15879,27;15879,27
"150565 PLACAS";28199,74;28199,74
"150570 PONTA DE PEDRAS";25283,66;25283,66
"150580 PORTEL";77999,75;77999,75
"150590 PORTO DE MOZ";53359,20;53359,20
"150600 PRAINHA";40667,87;40667,87
"150613 REDENCAO";621704,94;621704,94
"150616 RIO MARIA";31641,86;31641,86
"150618 RONDON DO PARA";99109,91;99109,91
"150619 RUROPOLIS";31761,76;31761,76
"150620 SALINOPOLIS";56303,38;56303,38
"150630 SALVATERRA";37734,99;37734,99
"150640 SANTA CRUZ DO ARARI";14107,44;14107,44
"150650 SANTA IZABEL DO PARA";27853,39;27853,39
"150658 SANTA MARIA DAS BARREIRAS";26491,59;26491,59
"150660 SANTA MARIA DO PARA";16387,47;16387,47
"150670 SANTANA DO ARAGUAIA";63989,05;63989,05
"150680 SANTAREM";1236421,69;1236421,69
"150700 SANTO ANTONIO DO TAUA";114183,64;114183,64
"150715 SAO DOMINGOS DO ARAGUAIA";12749,90;12749,90
"150720 SAO DOMINGOS DO CAPIM";36219,51;36219,51
"150730 SAO FELIX DO XINGU";122250,74;122250,74
"150745 SAO GERALDO DO ARAGUAIA";60899,17;60899,17
"150747 SAO JOAO DE PIRABAS";14714,72;14714,72
"150750 SAO JOAO DO ARAGUAIA";15691,00;15691,00
"150760 SAO MIGUEL DO GUAMA";85704,59;85704,59
"150770 SAO SEBASTIAO DA BOA VISTA";38426,50;38426,50
"150775 SAPUCAIA";13405,98;13405,98
"150780 SENADOR JOSE PORFIRIO";14249,79;14249,79
"150790 SOURE";31872,51;31872,51
"150795 TAILANDIA";122509,51;122509,51
"150797 TERRA SANTA";13362,45;13362,45
"150800 TOME-ACU";111906,57;111906,57
"150803 TRACUATEUA";36262,42;36262,42
"150805 TRAIRAO";30892,63;30892,63
"150808 TUCUMA";146219,52;146219,52
"150810 TUCURUI";395156,13;395156,13
"150812 ULIANOPOLIS";117536,89;117536,89
"150815 URUARA";116917,79;116917,79
"150820 VIGIA";68885,67;68885,67
"150830 VISEU";65329,63;65329,63
"150835 VITORIA DO XINGU";51666,87;51666,87
"150840 XINGUARA";86371,63;86371,63
"160010 AMAPA";2366,49;2366,49
"160015 PEDRA BRANCA DO AMAPARI";2377,27;2377,27
"160020 CALCOENE";8387,71;8387,71
"160023 FERREIRA GOMES";4626,00;4626,00
"160027 LARANJAL DO JARI";122535,29;122535,29
"160030 MACAPA";1855707,88;1855707,88
"160040 MAZAGAO";6128,06;6128,06
"160050 OIAPOQUE";51154,03;51154,03
"160053 PORTO GRANDE";7865,57;7865,57
"160060 SANTANA";125924,87;125924,87
"160070 TARTARUGALZINHO";8626,92;8626,92
"170070 ALVORADA";10975,49;10975,49
"170100 ANANAS";8004,55;8004,55
"170190 ARAGUACEMA";2736,31;2736,31
"170200 ARAGUACU";6580,15;6580,15
"170210 ARAGUAINA";2101305,80;2101305,80
"170220 ARAGUATINS";19604,49;19604,49
"170230 ARAPOEMA";29561,59;29561,59
"170240 ARRAIAS";22537,29;22537,29
"170255 AUGUSTINOPOLIS";159085,11;159085,11
"170550 COLINAS DO TOCANTINS";35267,57;35267,57
"170610 CRISTALANDIA";498,79;498,79
"170700 DIANOPOLIS";25079,49;25079,49
"170710 DIVINOPOLIS DO TOCANTINS";3400,23;3400,23
"170820 FORMOSO DO ARAGUAIA";8021,65;8021,65
"170900 GOIATINS";771,67;771,67
"170930 GUARAI";61637,41;61637,41
"170950 GURUPI";1330137,92;1330137,92
"171320 MIRACEMA DO TOCANTINS";239105,68;239105,68
"171360 MONTE DO CARMO";5788,24;5788,24
"171420 NATIVIDADE";3735,82;3735,82
"171575 PALMEIROPOLIS";3126,69;3126,69
"171610 PARAISO DO TOCANTINS";163339,22;163339,22
"171620 PARANA";12794,13;12794,13
"171650 PEDRO AFONSO";38293,89;38293,89
"171660 PEIXE";3318,58;3318,58
"171670 COLMEIA";1211,13;1211,13
"171750 PIUM";17095,72;17095,72
"171790 PONTE ALTA DO TOCANTINS";347,84;347,84
"171820 PORTO NACIONAL";199246,47;199246,47
"172065 SILVANOPOLIS";1227,11;1227,11
"172080 SITIO NOVO DO TOCANTINS";10028,52;10028,52
"172090 TAGUATINGA";28259,48;28259,48
"172100 PALMAS";2291985,22;2291985,22
"172120 TOCANTINOPOLIS";26166,43;26166,43
"172210 XAMBIOA";34336,54;34336,54
"210005 ACAILANDIA";331187,90;331187,90
"210030 ALDEIAS ALTAS";23427,65;23427,65
"210043 ALTO ALEGRE DO MARANHAO";58736,15;58736,15
"210047 ALTO ALEGRE DO PINDARE";70876,66;70876,66
"210050 ALTO PARNAIBA";13407,39;13407,39
"210060 AMARANTE DO MARANHAO";141079,85;141079,85
"210070 ANAJATUBA";16458,79;16458,79
"210080 ANAPURUS";20396,33;20396,33
"210083 APICUM-ACU";27681,35;27681,35
"210087 ARAGUANA";24421,20;24421,20
"210090 ARAIOSES";6053,08;6053,08
"210095 ARAME";58900,92;58900,92
"210100 ARARI";7175,43;7175,43
"210110 AXIXA";7651,50;7651,50
"210120 BACABAL";719565,99;719565,99
"210125 BACABEIRA";3557,28;3557,28
"210130 BACURI";36034,79;36034,79
"210140 BALSAS";489882,91;489882,91
"210150 BARAO DE GRAJAU";14664,57;14664,57
"210160 BARRA DO CORDA";143672,82;143672,82
"210170 BARREIRINHAS";231895,29;231895,29
"210177 BELA VISTA DO MARANHAO";29495,05;29495,05
"210190 BEQUIMAO";21150,58;21150,58
"210193 BERNARDO DO MEARIM";8394,79;8394,79
"210200 BOM JARDIM";87221,65;87221,65
"210203 BOM JESUS DAS SELVAS";37058,91;37058,91
"210210 BREJO";27556,16;27556,16
"210220 BURITI";18336,38;18336,38
"210230 BURITI BRAVO";52524,39;52524,39
"210232 BURITICUPU";92607,68;92607,68
"210240 CAJAPIO";17581,87;17581,87
"210250 CAJARI";4728,07;4728,07
"210260 CANDIDO MENDES";18204,14;18204,14
"210270 CANTANHEDE";38002,17;38002,17
"210280 CAROLINA";46180,77;46180,77
"210290 CARUTAPERA";74919,12;74919,12
"210300 CAXIAS";1033963,84;1033963,84
"210310 CEDRAL";18501,86;18501,86
"210312 CENTRAL DO MARANHAO";9892,89;9892,89
"210320 CHAPADINHA";246521,15;246521,15
"210325 CIDELANDIA";19688,98;19688,98
