 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Jul/2018
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";178
"110002 ARIQUEMES";441
"110003 CABIXI";26
"110004 CACOAL";1065
"110005 CEREJEIRAS";120
"110006 COLORADO DO OESTE";107
"110008 COSTA MARQUES";54
"110009 ESPIGAO D'OESTE";139
"110010 GUAJARA-MIRIM";292
"110011 JARU";293
"110012 JI-PARANA";667
"110013 MACHADINHO D'OESTE";117
"110014 NOVA BRASILANDIA D'OESTE";80
"110015 OURO PRETO DO OESTE";212
"110018 PIMENTA BUENO";235
"110020 PORTO VELHO";3756
"110025 PRESIDENTE MEDICI";110
"110026 RIO CRESPO";7
"110028 ROLIM DE MOURA";260
"110029 SANTA LUZIA D'OESTE";40
"110030 VILHENA";874
"110032 SAO MIGUEL DO GUAPORE";116
"110033 NOVA MAMORE";38
"110034 ALVORADA D'OESTE";48
"110037 ALTO ALEGRE DOS PARECIS";20
"110040 ALTO PARAISO";43
"110045 BURITIS";76
"110050 NOVO HORIZONTE DO OESTE";17
"110060 CACAULANDIA";2
"110070 CAMPO NOVO DE RONDONIA";17
"110094 CUJUBIM";76
"110110 ITAPUA DO OESTE";4
"110120 MINISTRO ANDREAZZA";12
"110130 MIRANTE DA SERRA";19
"110140 MONTE NEGRO";36
"110143 NOVA UNIAO";6
"110145 PARECIS";23
"110146 PIMENTEIRAS DO OESTE";10
"110149 SAO FRANCISCO DO GUAPORE";228
"110150 SERINGUEIRAS";43
"110155 TEIXEIROPOLIS";3
"110160 THEOBROMA";15
"110170 URUPA";12
"110175 VALE DO ANARI";12
"110180 VALE DO PARAISO";16
"120001 ACRELANDIA";2
"120005 ASSIS BRASIL";12
"120010 BRASILEIA";209
"120020 CRUZEIRO DO SUL";775
"120033 MANCIO LIMA";5
"120038 PLACIDO DE CASTRO";39
"120039 PORTO WALTER";20
"120040 RIO BRANCO";2255
"120042 RODRIGUES ALVES";18
"120043 SANTA ROSA DO PURUS";33
"120045 SENADOR GUIOMARD";68
"120050 SENA MADUREIRA";248
"120060 TARAUACA";193
"120070 XAPURI";81
"130002 ALVARAES";84
"130006 AMATURA";100
