 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Jul/2015
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";192
"110002 ARIQUEMES";547
"110003 CABIXI";26
"110004 CACOAL";908
"110005 CEREJEIRAS";113
"110006 COLORADO DO OESTE";34
"110009 ESPIGAO D'OESTE";104
"110010 GUAJARA-MIRIM";262
"110011 JARU";171
"110012 JI-PARANA";771
"110015 OURO PRETO DO OESTE";217
"110018 PIMENTA BUENO";172
"110020 PORTO VELHO";4252
"110025 PRESIDENTE MEDICI";53
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";485
"110029 SANTA LUZIA D'OESTE";63
"110030 VILHENA";1099
"110032 SAO MIGUEL DO GUAPORE";107
"110033 NOVA MAMORE";42
"110034 ALVORADA D'OESTE";27
"110037 ALTO ALEGRE DOS PARECIS";37
"110040 ALTO PARAISO";27
"110045 BURITIS";43
"110050 NOVO HORIZONTE DO OESTE";45
"110060 CACAULANDIA";4
"110070 CAMPO NOVO DE RONDONIA";16
"110094 CUJUBIM";23
"110100 GOVERNADOR JORGE TEIXEIRA";18
"110120 MINISTRO ANDREAZZA";36
"110130 MIRANTE DA SERRA";28
"110143 NOVA UNIAO";18
"110145 PARECIS";23
"110146 PIMENTEIRAS DO OESTE";2
"110149 SAO FRANCISCO DO GUAPORE";75
"110150 SERINGUEIRAS";67
"110155 TEIXEIROPOLIS";6
"110160 THEOBROMA";10
"110170 URUPA";50
"110175 VALE DO ANARI";2
"110180 VALE DO PARAISO";8
"120005 ASSIS BRASIL";35
"120010 BRASILEIA";184
"120020 CRUZEIRO DO SUL";661
"120033 MANCIO LIMA";101
"120034 MANOEL URBANO";56
"120038 PLACIDO DE CASTRO";48
"120039 PORTO WALTER";42
"120040 RIO BRANCO";2223
"120042 RODRIGUES ALVES";23
"120050 SENA MADUREIRA";277
"120060 TARAUACA";209
"120070 XAPURI";59
"130002 ALVARAES";79
"130008 ANAMA";23
"130014 APUI";102
"130020 ATALAIA DO NORTE";50
"130030 AUTAZES";98
"130040 BARCELOS";6
"130050 BARREIRINHA";70
"130060 BENJAMIN CONSTANT";90
"130063 BERURI";31
"130070 BOCA DO ACRE";139
"130080 BORBA";143
"130083 CAAPIRANGA";32
"130090 CANUTAMA";28
"130100 CARAUARI";91
"130110 CAREIRO";51
"130120 COARI";323
"130130 CODAJAS";64
"130140 EIRUNEPE";63
"130160 FONTE BOA";59
"130165 GUAJARA";40
"130170 HUMAITA";149
"130180 IPIXUNA";74
"130185 IRANDUBA";174
"130190 ITACOATIARA";348
"130210 JAPURA";13
"130220 JURUA";48
"130230 JUTAI";101
"130240 LABREA";52
"130250 MANACAPURU";403
"130255 MANAQUIRI";36
"130260 MANAUS";10188
"130270 MANICORE";131
"130290 MAUES";188
"130300 NHAMUNDA";32
"130330 NOVO ARIPUANA";187
"130340 PARINTINS";513
"130350 PAUINI";47
"130353 PRESIDENTE FIGUEIREDO";64
"130356 RIO PRETO DA EVA";48
"130360 SANTA ISABEL DO RIO NEGRO";82
"130370 SANTO ANTONIO DO ICA";67
"130380 SAO GABRIEL DA CACHOEIRA";63
"130390 SAO PAULO DE OLIVENCA";170
"130395 SAO SEBASTIAO DO UATUMA";29
"130400 SILVES";46
"130406 TABATINGA";203
"130410 TAPAUA";65
"130420 TEFE";369
"130430 URUCARA";58
"130440 URUCURITUBA";4
"140005 ALTO ALEGRE";41
"140010 BOA VISTA";2870
"140023 CAROEBE";21
"140040 NORMANDIA";34
"140047 RORAINOPOLIS";91
"140050 SAO JOAO DA BALIZA";53
"150010 ABAETETUBA";633
"150013 ABEL FIGUEIREDO";54
"150020 ACARA";149
"150030 AFUA";75
"150034 AGUA AZUL DO NORTE";48
"150040 ALENQUER";291
"150050 ALMEIRIM";52
"150060 ALTAMIRA";890
"150070 ANAJAS";83
"150080 ANANINDEUA";2939
"150085 ANAPU";112
"150090 AUGUSTO CORREA";259
"150095 AURORA DO PARA";66
"150120 BAIAO";149
"150125 BANNACH";19
"150130 BARCARENA";366
"150140 BELEM";9162
"150145 BELTERRA";45
"150157 BOM JESUS DO TOCANTINS";94
"150170 BRAGANCA";1266
"150172 BRASIL NOVO";33
"150175 BREJO GRANDE DO ARAGUAIA";45
"150178 BREU BRANCO";100
"150180 BREVES";722
"150190 BUJARU";195
"150200 CACHOEIRA DO ARARI";85
"150210 CAMETA";646
"150215 CANAA DOS CARAJAS";115
"150220 CAPANEMA";574
"150230 CAPITAO POCO";475
"150240 CASTANHAL";1368
"150250 CHAVES";8
"150270 CONCEICAO DO ARAGUAIA";380
"150275 CONCORDIA DO PARA";77
"150276 CUMARU DO NORTE";42
"150277 CURIONOPOLIS";168
"150280 CURRALINHO";88
"150290 CURUCA";73
"150293 DOM ELISEU";256
"150295 ELDORADO DOS CARAJAS";188
"150300 FARO";29
"150304 FLORESTA DO ARAGUAIA";116
"150309 GOIANESIA DO PARA";59
"150310 GURUPA";85
"150320 IGARAPE-ACU";48
"150330 IGARAPE-MIRI";547
"150340 INHANGAPI";53
"150345 IPIXUNA DO PARA";201
"150350 IRITUIA";114
"150360 ITAITUBA";557
"150370 ITUPIRANGA";119
"150375 JACAREACANGA";154
"150380 JACUNDA";301
"150390 JURUTI";133
"150400 LIMOEIRO DO AJURU";140
"150405 MAE DO RIO";246
"150420 MARABA";1204
"150430 MARACANA";56
"150442 MARITUBA";504
"150445 MEDICILANDIA";65
"150450 MELGACO";124
"150460 MOCAJUBA";136
"150470 MOJU";199
"150480 MONTE ALEGRE";300
"150490 MUANA";188
"150495 NOVA ESPERANCA DO PIRIA";2
"150503 NOVO PROGRESSO";148
"150506 NOVO REPARTIMENTO";166
"150510 OBIDOS";238
"150520 OEIRAS DO PARA";100
"150530 ORIXIMINA";346
"150540 OUREM";69
"150543 OURILANDIA DO NORTE";200
"150548 PACAJA";118
"150549 PALESTINA DO PARA";9
"150550 PARAGOMINAS";509
"150553 PARAUAPEBAS";434
"150555 PAU D'ARCO";55
"150563 PICARRA";46
"150565 PLACAS";134
"150570 PONTA DE PEDRAS";98
"150580 PORTEL";142
"150590 PORTO DE MOZ";157
"150600 PRAINHA";90
"150613 REDENCAO";763
