 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor serviços hospitalares por Município e Ano processamento
Período:Mai/2023
"Município";"2023";"Total"
"110001 ALTA FLORESTA D'OESTE";55676,50;55676,50
"110002 ARIQUEMES";452312,65;452312,65
"110003 CABIXI";7840,17;7840,17
"110004 CACOAL";1286777,21;1286777,21
"110005 CEREJEIRAS";52910,29;52910,29
"110006 COLORADO DO OESTE";30903,86;30903,86
"110008 COSTA MARQUES";1405,17;1405,17
"110009 ESPIGAO D'OESTE";32210,89;32210,89
"110010 GUAJARA-MIRIM";117737,49;117737,49
"110011 JARU";90961,36;90961,36
"110012 JI-PARANA";590762,77;590762,77
"110013 MACHADINHO D'OESTE";60727,41;60727,41
"110014 NOVA BRASILANDIA D'OESTE";44675,81;44675,81
"110015 OURO PRETO DO OESTE";92712,60;92712,60
"110018 PIMENTA BUENO";121728,65;121728,65
"110020 PORTO VELHO";6853185,06;6853185,06
"110025 PRESIDENTE MEDICI";36630,12;36630,12
"110026 RIO CRESPO";1023,13;1023,13
"110028 ROLIM DE MOURA";113046,46;113046,46
"110029 SANTA LUZIA D'OESTE";15205,27;15205,27
"110030 VILHENA";527818,37;527818,37
"110032 SAO MIGUEL DO GUAPORE";46620,98;46620,98
"110033 NOVA MAMORE";51359,30;51359,30
"110034 ALVORADA D'OESTE";29253,66;29253,66
"110037 ALTO ALEGRE DOS PARECIS";21893,64;21893,64
"110040 ALTO PARAISO";11255,63;11255,63
"110045 BURITIS";65358,54;65358,54
"110050 NOVO HORIZONTE DO OESTE";20068,32;20068,32
"110060 CACAULANDIA";2032,81;2032,81
"110070 CAMPO NOVO DE RONDONIA";13333,77;13333,77
"110080 CANDEIAS DO JAMARI";1209,68;1209,68
"110094 CUJUBIM";22927,04;22927,04
"110100 GOVERNADOR JORGE TEIXEIRA";4615,93;4615,93
"110120 MINISTRO ANDREAZZA";7878,14;7878,14
"110130 MIRANTE DA SERRA";7269,32;7269,32
"110140 MONTE NEGRO";29381,85;29381,85
"110143 NOVA UNIAO";6261,87;6261,87
"110145 PARECIS";6906,81;6906,81
"110146 PIMENTEIRAS DO OESTE";1711,31;1711,31
"110149 SAO FRANCISCO DO GUAPORE";26274,01;26274,01
"110150 SERINGUEIRAS";67168,80;67168,80
"110155 TEIXEIROPOLIS";1948,06;1948,06
"110160 THEOBROMA";5840,29;5840,29
"110170 URUPA";17483,52;17483,52
"110175 VALE DO ANARI";5908,15;5908,15
"110180 VALE DO PARAISO";9883,17;9883,17
"120001 ACRELANDIA";6583,37;6583,37
"120005 ASSIS BRASIL";19272,27;19272,27
"120010 BRASILEIA";102977,43;102977,43
"120020 CRUZEIRO DO SUL";526635,80;526635,80
"120030 FEIJO";37213,19;37213,19
"120033 MANCIO LIMA";26733,15;26733,15
"120034 MANOEL URBANO";5593,62;5593,62
"120038 PLACIDO DE CASTRO";22020,83;22020,83
"120039 PORTO WALTER";4091,54;4091,54
"120040 RIO BRANCO";2753314,97;2753314,97
"120042 RODRIGUES ALVES";10656,75;10656,75
"120043 SANTA ROSA DO PURUS";1473,98;1473,98
"120045 SENADOR GUIOMARD";21683,95;21683,95
"120050 SENA MADUREIRA";51423,94;51423,94
"120060 TARAUACA";85273,76;85273,76
"120070 XAPURI";19003,02;19003,02
"130002 ALVARAES";19004,50;19004,50
"130006 AMATURA";11262,76;11262,76
"130008 ANAMA";28796,69;28796,69
"130010 ANORI";44495,11;44495,11
"130014 APUI";35855,76;35855,76
"130020 ATALAIA DO NORTE";20159,56;20159,56
"130030 AUTAZES";32078,19;32078,19
"130040 BARCELOS";27116,67;27116,67
"130050 BARREIRINHA";40881,05;40881,05
"130060 BENJAMIN CONSTANT";70285,70;70285,70
"130063 BERURI";14283,55;14283,55
"130068 BOA VISTA DO RAMOS";16836,05;16836,05
"130070 BOCA DO ACRE";54081,42;54081,42
"130080 BORBA";60265,08;60265,08
"130083 CAAPIRANGA";15054,19;15054,19
"130090 CANUTAMA";15855,88;15855,88
"130100 CARAUARI";48563,46;48563,46
"130110 CAREIRO";37645,63;37645,63
"130115 CAREIRO DA VARZEA";544,07;544,07
"130120 COARI";126802,15;126802,15
"130130 CODAJAS";32897,93;32897,93
"130150 ENVIRA";26916,71;26916,71
"130160 FONTE BOA";64556,49;64556,49
"130165 GUAJARA";8552,41;8552,41
"130170 HUMAITA";55588,11;55588,11
"130180 IPIXUNA";70034,20;70034,20
"130185 IRANDUBA";36737,33;36737,33
"130190 ITACOATIARA";164632,68;164632,68
"130195 ITAMARATI";41311,01;41311,01
"130200 ITAPIRANGA";8613,02;8613,02
"130210 JAPURA";10586,31;10586,31
"130230 JUTAI";59202,68;59202,68
"130250 MANACAPURU";190058,37;190058,37
"130255 MANAQUIRI";30342,09;30342,09
"130260 MANAUS";14604692,16;14604692,16
"130270 MANICORE";60099,25;60099,25
"130290 MAUES";125813,98;125813,98
"130310 NOVA OLINDA DO NORTE";34721,60;34721,60
"130320 NOVO AIRAO";27909,28;27909,28
"130330 NOVO ARIPUANA";33973,50;33973,50
"130340 PARINTINS";230257,54;230257,54
"130350 PAUINI";30669,07;30669,07
