 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Set/2008
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";190
"110002 ARIQUEMES";361
"110004 CACOAL";469
"110005 CEREJEIRAS";150
"110006 COLORADO DO OESTE";124
"110008 COSTA MARQUES";55
"110009 ESPIGAO D'OESTE";154
"110011 JARU";201
"110012 JI-PARANA";865
"110013 MACHADINHO D'OESTE";433
"110014 NOVA BRASILANDIA D'OESTE";129
"110015 OURO PRETO DO OESTE";120
"110018 PIMENTA BUENO";234
"110020 PORTO VELHO";2004
"110025 PRESIDENTE MEDICI";140
"110028 ROLIM DE MOURA";475
"110029 SANTA LUZIA D'OESTE";64
"110030 VILHENA";522
"110032 SAO MIGUEL DO GUAPORE";88
"110033 NOVA MAMORE";63
"110050 NOVO HORIZONTE DO OESTE";45
"110100 GOVERNADOR JORGE TEIXEIRA";62
"110120 MINISTRO ANDREAZZA";35
"110130 MIRANTE DA SERRA";82
"110140 MONTE NEGRO";249
"110149 SAO FRANCISCO DO GUAPORE";99
"110150 SERINGUEIRAS";94
"120001 ACRELANDIA";54
"120005 ASSIS BRASIL";58
"120010 BRASILEIA";204
"120020 CRUZEIRO DO SUL";916
"120030 FEIJO";153
"120033 MANCIO LIMA";32
"120034 MANOEL URBANO";79
"120038 PLACIDO DE CASTRO";66
"120040 RIO BRANCO";2350
"120042 RODRIGUES ALVES";29
"120045 SENADOR GUIOMARD";101
"120050 SENA MADUREIRA";271
"120060 TARAUACA";160
"120070 XAPURI";79
"130002 ALVARAES";24
"130008 ANAMA";31
"130010 ANORI";53
"130014 APUI";83
"130020 ATALAIA DO NORTE";53
"130030 AUTAZES";123
"130040 BARCELOS";61
"130050 BARREIRINHA";97
"130060 BENJAMIN CONSTANT";105
"130063 BERURI";50
"130068 BOA VISTA DO RAMOS";35
"130070 BOCA DO ACRE";117
"130080 BORBA";255
"130083 CAAPIRANGA";38
"130090 CANUTAMA";40
"130100 CARAUARI";111
"130120 COARI";439
"130130 CODAJAS";93
"130140 EIRUNEPE";124
"130150 ENVIRA";61
"130160 FONTE BOA";164
"130165 GUAJARA";40
"130170 HUMAITA";139
"130180 IPIXUNA";50
"130185 IRANDUBA";106
"130190 ITACOATIARA";412
"130195 ITAMARATI";32
"130200 ITAPIRANGA";36
"130220 JURUA";100
"130230 JUTAI";66
"130240 LABREA";128
"130250 MANACAPURU";357
"130260 MANAUS";9064
"130270 MANICORE";159
"130280 MARAA";86
"130290 MAUES";180
"130310 NOVA OLINDA DO NORTE";121
"130330 NOVO ARIPUANA";91
"130340 PARINTINS";482
"130350 PAUINI";111
"130353 PRESIDENTE FIGUEIREDO";120
"130356 RIO PRETO DA EVA";137
"130360 SANTA ISABEL DO RIO NEGRO";61
"130380 SAO GABRIEL DA CACHOEIRA";96
"130390 SAO PAULO DE OLIVENCA";85
"130395 SAO SEBASTIAO DO UATUMA";27
"130410 TAPAUA";70
"130420 TEFE";346
"130423 TONANTINS";107
"130426 UARINI";24
"130430 URUCARA";82
"130440 URUCURITUBA";36
"140005 ALTO ALEGRE";48
"140010 BOA VISTA";1630
"140015 BONFIM";20
"140020 CARACARAI";48
"140023 CAROEBE";51
"140030 MUCAJAI";15
"140040 NORMANDIA";19
"140047 RORAINOPOLIS";35
"140050 SAO JOAO DA BALIZA";25
"140060 SAO LUIZ";22
"150010 ABAETETUBA";982
"150013 ABEL FIGUEIREDO";48
