 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Jul/2011
"Município";"AIH_aprovadas"
"110001 ALTA FLORESTA D'OESTE";165
"110002 ARIQUEMES";509
"110003 CABIXI";29
"110004 CACOAL";556
"110005 CEREJEIRAS";131
"110006 COLORADO DO OESTE";98
"110008 COSTA MARQUES";50
"110009 ESPIGAO D'OESTE";131
"110010 GUAJARA-MIRIM";256
"110011 JARU";200
"110012 JI-PARANA";793
"110013 MACHADINHO D'OESTE";127
"110014 NOVA BRASILANDIA D'OESTE";129
"110015 OURO PRETO DO OESTE";248
"110018 PIMENTA BUENO";231
"110020 PORTO VELHO";2332
"110025 PRESIDENTE MEDICI";67
"110028 ROLIM DE MOURA";356
"110029 SANTA LUZIA D'OESTE";64
"110030 VILHENA";521
"110032 SAO MIGUEL DO GUAPORE";118
"110033 NOVA MAMORE";66
"110034 ALVORADA D'OESTE";38
"110037 ALTO ALEGRE DOS PARECIS";60
"110040 ALTO PARAISO";40
"110050 NOVO HORIZONTE DO OESTE";45
"110060 CACAULANDIA";27
"110070 CAMPO NOVO DE RONDONIA";99
"110094 CUJUBIM";44
"110100 GOVERNADOR JORGE TEIXEIRA";20
"110110 ITAPUA DO OESTE";4
"110120 MINISTRO ANDREAZZA";31
"110130 MIRANTE DA SERRA";72
"110140 MONTE NEGRO";186
"110143 NOVA UNIAO";34
"110145 PARECIS";7
"110149 SAO FRANCISCO DO GUAPORE";40
"110150 SERINGUEIRAS";20
"110155 TEIXEIROPOLIS";8
"110160 THEOBROMA";6
"110170 URUPA";40
"110175 VALE DO ANARI";18
"110180 VALE DO PARAISO";22
"120005 ASSIS BRASIL";23
"120010 BRASILEIA";176
"120020 CRUZEIRO DO SUL";766
"120030 FEIJO";37
"120033 MANCIO LIMA";46
"120034 MANOEL URBANO";79
"120038 PLACIDO DE CASTRO";86
"120039 PORTO WALTER";1
"120040 RIO BRANCO";2682
"120042 RODRIGUES ALVES";35
"120043 SANTA ROSA DO PURUS";14
"120045 SENADOR GUIOMARD";44
"120050 SENA MADUREIRA";228
"120060 TARAUACA";152
"120070 XAPURI";69
"130006 AMATURA";28
"130010 ANORI";23
"130014 APUI";82
"130030 AUTAZES";29
"130050 BARREIRINHA";49
"130060 BENJAMIN CONSTANT";75
"130063 BERURI";25
"130068 BOA VISTA DO RAMOS";39
"130070 BOCA DO ACRE";139
"130080 BORBA";129
"130083 CAAPIRANGA";18
"130100 CARAUARI";61
"130110 CAREIRO";35
"130120 COARI";80
"130130 CODAJAS";92
"130140 EIRUNEPE";225
"130150 ENVIRA";12
"130160 FONTE BOA";121
"130165 GUAJARA";11
"130170 HUMAITA";140
"130180 IPIXUNA";58
"130185 IRANDUBA";142
"130190 ITACOATIARA";392
"130200 ITAPIRANGA";33
"130230 JUTAI";63
"130240 LABREA";24
"130250 MANACAPURU";408
"130255 MANAQUIRI";36
"130260 MANAUS";10763
"130270 MANICORE";97
"130280 MARAA";82
"130290 MAUES";184
"130300 NHAMUNDA";44
"130310 NOVA OLINDA DO NORTE";113
"130320 NOVO AIRAO";27
"130330 NOVO ARIPUANA";31
"130340 PARINTINS";434
"130350 PAUINI";56
"130353 PRESIDENTE FIGUEIREDO";102
"130356 RIO PRETO DA EVA";55
"130360 SANTA ISABEL DO RIO NEGRO";36
"130370 SANTO ANTONIO DO ICA";15
"130380 SAO GABRIEL DA CACHOEIRA";90
"130390 SAO PAULO DE OLIVENCA";224
"130395 SAO SEBASTIAO DO UATUMA";20
"130400 SILVES";28
"130406 TABATINGA";130
"130410 TAPAUA";41
"130420 TEFE";295
"130430 URUCARA";14
"140010 BOA VISTA";1885
"140015 BONFIM";14
"140020 CARACARAI";30
"140023 CAROEBE";18
"140030 MUCAJAI";14
"140040 NORMANDIA";54
"140045 PACARAIMA";36
"140047 RORAINOPOLIS";82
"140050 SAO JOAO DA BALIZA";26
"140060 SAO LUIZ";25
"150010 ABAETETUBA";843
"150013 ABEL FIGUEIREDO";31
"150020 ACARA";138
"150030 AFUA";103
"150034 AGUA AZUL DO NORTE";78
"150040 ALENQUER";415
"150050 ALMEIRIM";12
"150060 ALTAMIRA";1216
"150070 ANAJAS";104
"150080 ANANINDEUA";3375
"150085 ANAPU";90
"150090 AUGUSTO CORREA";237
"150095 AURORA DO PARA";128
"150120 BAIAO";199
"150125 BANNACH";65
"150130 BARCARENA";387
"150140 BELEM";6506
"150145 BELTERRA";63
"150150 BENEVIDES";190
"150157 BOM JESUS DO TOCANTINS";115
"150170 BRAGANCA";1129
"150172 BRASIL NOVO";212
"150175 BREJO GRANDE DO ARAGUAIA";58
"150178 BREU BRANCO";114
"150180 BREVES";742
"150190 BUJARU";199
"150200 CACHOEIRA DO ARARI";79
"150210 CAMETA";778
"150215 CANAA DOS CARAJAS";62
"150220 CAPANEMA";669
"150230 CAPITAO POCO";513
"150240 CASTANHAL";1327
"150270 CONCEICAO DO ARAGUAIA";348
"150275 CONCORDIA DO PARA";95
"150276 CUMARU DO NORTE";40
"150277 CURIONOPOLIS";2
"150280 CURRALINHO";111
"150290 CURUCA";158
"150293 DOM ELISEU";337
"150295 ELDORADO DOS CARAJAS";284
"150304 FLORESTA DO ARAGUAIA";108
"150309 GOIANESIA DO PARA";235
"150310 GURUPA";76
"150320 IGARAPE-ACU";124
"150330 IGARAPE-MIRI";661
"150340 INHANGAPI";48
"150345 IPIXUNA DO PARA";188
"150350 IRITUIA";218
"150360 ITAITUBA";648
"150370 ITUPIRANGA";187
"150375 JACAREACANGA";61
"150380 JACUNDA";427
"150390 JURUTI";39
"150400 LIMOEIRO DO AJURU";258
"150405 MAE DO RIO";290
"150420 MARABA";1092
"150430 MARACANA";49
"150440 MARAPANIM";56
"150442 MARITUBA";527
"150445 MEDICILANDIA";133
"150450 MELGACO";27
"150460 MOCAJUBA";154
"150470 MOJU";218
"150480 MONTE ALEGRE";388
"150490 MUANA";131
"150495 NOVA ESPERANCA DO PIRIA";18
"150503 NOVO PROGRESSO";222
"150506 NOVO REPARTIMENTO";252
"150510 OBIDOS";329
"150530 ORIXIMINA";252
"150540 OUREM";89
"150543 OURILANDIA DO NORTE";169
"150548 PACAJA";202
"150549 PALESTINA DO PARA";21
"150550 PARAGOMINAS";446
"150553 PARAUAPEBAS";579
"150555 PAU D'ARCO";61
"150563 PICARRA";80
"150565 PLACAS";94
"150580 PORTEL";124
"150590 PORTO DE MOZ";182
"150600 PRAINHA";107
"150613 REDENCAO";734
"150616 RIO MARIA";151
"150618 RONDON DO PARA";618
"150619 RUROPOLIS";146
"150620 SALINOPOLIS";493
"150630 SALVATERRA";67
"150650 SANTA IZABEL DO PARA";549
"150658 SANTA MARIA DAS BARREIRAS";64
"150660 SANTA MARIA DO PARA";216
"150670 SANTANA DO ARAGUAIA";188
"150680 SANTAREM";1476
"150700 SANTO ANTONIO DO TAUA";387
"150715 SAO DOMINGOS DO ARAGUAIA";145
"150720 SAO DOMINGOS DO CAPIM";55
"150730 SAO FELIX DO XINGU";285
"150745 SAO GERALDO DO ARAGUAIA";222
"150747 SAO JOAO DE PIRABAS";90
"150750 SAO JOAO DO ARAGUAIA";26
"150760 SAO MIGUEL DO GUAMA";160
"150770 SAO SEBASTIAO DA BOA VISTA";110
"150775 SAPUCAIA";82
"150780 SENADOR JOSE PORFIRIO";70
"150790 SOURE";80
"150795 TAILANDIA";254
"150797 TERRA SANTA";50
"150800 TOME-ACU";164
"150803 TRACUATEUA";73
"150805 TRAIRAO";95
"150808 TUCUMA";254
"150810 TUCURUI";722
"150812 ULIANOPOLIS";303
"150815 URUARA";380
"150820 VIGIA";202
"150830 VISEU";250
"150835 VITORIA DO XINGU";36
"150840 XINGUARA";232
"160020 CALCOENE";47
"160027 LARANJAL DO JARI";314
"160030 MACAPA";2597
"160053 PORTO GRANDE";55
"160060 SANTANA";463
"170070 ALVORADA";4
"170100 ANANAS";51
"170190 ARAGUACEMA";37
"170200 ARAGUACU";101
"170210 ARAGUAINA";1878
"170230 ARAPOEMA";50
"170240 ARRAIAS";131
"170255 AUGUSTINOPOLIS";846
"170550 COLINAS DO TOCANTINS";256
"170610 CRISTALANDIA";19
"170700 DIANOPOLIS";200
"170710 DIVINOPOLIS DO TOCANTINS";13
"170730 DUERE";10
"170765 FIGUEIROPOLIS";3
"170820 FORMOSO DO ARAGUAIA";30
"170900 GOIATINS";85
"170930 GUARAI";181
"170950 GURUPI";653
"171050 ITACAJA";42
"171320 MIRACEMA DO TOCANTINS";271
"171330 MIRANORTE";75
"171360 MONTE DO CARMO";12
"171420 NATIVIDADE";8
"171430 NAZARE";9
"171575 PALMEIROPOLIS";15
"171610 PARAISO DO TOCANTINS";423
"171620 PARANA";14
"171650 PEDRO AFONSO";185
"171660 PEIXE";12
"171670 COLMEIA";10
"171750 PIUM";18
"171790 PONTE ALTA DO TOCANTINS";20
"171820 PORTO NACIONAL";638
"172065 SILVANOPOLIS";8
"172090 TAGUATINGA";196
"172100 PALMAS";2034
"172120 TOCANTINOPOLIS";216
"172210 XAMBIOA";106
"210005 ACAILANDIA";682
"210020 ALCANTARA";27
"210030 ALDEIAS ALTAS";110
"210047 ALTO ALEGRE DO PINDARE";185
